appointmentId,maskedRegNum,cityId,listingPrice,carName,make,model,variant,year,transmissionType,bodyType,fuelType,ownership,registrationDate,cityRto,color,odometer,emiDetails,modelGroup,oemServiceHistoryAvailable,fitnessAge,features
10190340719,HR985547,5,511000,Tata Tiago,Tata,Tiago,XZA PLUS PETROL,2020,"{'value': 'Automatic', 'display': 'Auto'}",Hatchback,Petrol,1,1609459200000,HR98,Silver,"{'value': 14236, 'display': '14.24k km'}","{'cashDownPayment': 0, 'emiStartingValue': 9990, 'emiEndingValue': 9990, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 9990, 'emiOriginalEndingValue': 9990, 'tenure': 72, 'displayText': 'EMI ₹9,990/m', 'notAvailableText': 'Not available on EMI'}",Tiago,False,15,"['InfotainmentSystem', 'AlloyWheels', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist']"
17329348798,******XXXX,7323,1101000,MG HECTOR,MG,HECTOR,SHARP 1.5 PETROL CVT,2021,"{'value': 'Automatic', 'display': 'Auto'}",SUV,Petrol,1,1635724800000,OD02,Red,"{'value': 36878, 'display': '36.88k km'}","{'cashDownPayment': 0, 'emiStartingValue': 20957, 'emiEndingValue': 20957, 'roiMinDiscounted': 11.0, 'roiMaxDiscounted': 11.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 21525, 'emiOriginalEndingValue': 21525, 'tenure': 72, 'displayText': 'EMI ₹20,957/m', 'notAvailableText': 'Not available on EMI'}",HECTOR,False,15,"['InfotainmentSystem', 'RearAc', 'Sunroof/Moonroof', 'LeatherSeats', 'AlloyWheels', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'CruiseControl', 'PushButtonStart', 'TopModel', '360DegreeCamera', 'VentilatedSeats', 'GpsNavigation', 'Tpms']"
17225046759,******XXXX,3460,795000,Maruti Dzire,Maruti,Dzire,ZXI Plus,2024,"{'value': 'Manual', 'display': 'Manual'}",Sedan,Petrol,1,1711929600000,CG04,White,"{'value': 5778, 'display': '5.78k km'}","{'cashDownPayment': 0, 'emiStartingValue': 15542, 'emiEndingValue': 15542, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 15542, 'emiOriginalEndingValue': 15542, 'tenure': 72, 'displayText': 'EMI ₹15,542/m', 'notAvailableText': 'Not available on EMI'}",Dzire,False,15,"['InfotainmentSystem', 'RearAc', 'AlloyWheels', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'CruiseControl', 'PushButtonStart']"
19767924743,******XXXX,553,497000,Hyundai Creta,Hyundai,Creta,SX (O) 1.6 DIESEL,2015,"{'value': 'Manual', 'display': 'Manual'}",SUV,Diesel,1,1448928000000,UP85,White,"{'value': 217032, 'display': '2.2L km'}","{'cashDownPayment': 0, 'emiStartingValue': 13088, 'emiEndingValue': 13088, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 13088, 'emiOriginalEndingValue': 13088, 'tenure': 48, 'displayText': 'EMI ₹13,088/m', 'notAvailableText': 'Not available on EMI'}",Creta,False,14,"['RearAc', 'LeatherSeats', 'AlloyWheels', 'Bluetooth', 'ParkingAssist', 'GpsNavigation']"
14618721701,MP04**5901,2920,480000,Tata ALTROZ,Tata,ALTROZ,XT PETROL,2020,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,CNG,1,1580515200000,MP04,Silver,"{'value': 59350, 'display': '59.35k km'}","{'cashDownPayment': 0, 'emiStartingValue': 9384, 'emiEndingValue': 9384, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 9384, 'emiOriginalEndingValue': 9384, 'tenure': 72, 'displayText': 'EMI ₹9,384/m', 'notAvailableText': 'Not available on EMI'}",ALTROZ,False,13,"['InfotainmentSystem', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'CruiseControl', 'PushButtonStart']"
11353342712,TN02**2629,5732,745000,Hyundai VENUE,Hyundai,VENUE,S 1.2,2022,"{'value': 'Manual', 'display': 'Manual'}",SUV,Petrol,1,1648771200000,TN02,Red,"{'value': 53615, 'display': '53.62k km'}","{'cashDownPayment': 0, 'emiStartingValue': 14565, 'emiEndingValue': 14565, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 14565, 'emiOriginalEndingValue': 14565, 'tenure': 72, 'displayText': 'EMI ₹14,565/m', 'notAvailableText': 'Not available on EMI'}",VENUE,False,15,[]
10062623701,DL3C**6816,2,380000,Honda Amaze,Honda,Amaze,1.2L I-VTEC S OPT,2018,"{'value': 'Manual', 'display': 'Manual'}",Sedan,Petrol,2,1517443200000,DL3C,Silver,"{'value': 79862, 'display': '79.86k km'}","{'cashDownPayment': 0, 'emiStartingValue': 7429, 'emiEndingValue': 7429, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 7429, 'emiOriginalEndingValue': 7429, 'tenure': 72, 'displayText': 'EMI ₹7,429/m', 'notAvailableText': 'Not available on EMI'}",Amaze,False,15,['Bluetooth']
12417648774,******XXXX,2598,1280000,Maruti XL6,Maruti,XL6,ZETA CNG,2024,"{'value': 'Manual', 'display': 'Manual'}",SUV,Petrol,1,1727740800000,MH15,White,"{'value': 5041, 'display': '5.04k km'}","{'cashDownPayment': 0, 'emiStartingValue': 24364, 'emiEndingValue': 24364, 'roiMinDiscounted': 11.0, 'roiMaxDiscounted': 11.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 25024, 'emiOriginalEndingValue': 25024, 'tenure': 72, 'displayText': 'EMI ₹24,364/m', 'notAvailableText': 'Not available on EMI'}",XL6,False,15,"['InfotainmentSystem', 'RearAc', 'AlloyWheels', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'CruiseControl', 'PushButtonStart']"
DLR1001522,PB02**2346,684,449990,Maruti Swift Dzire,Maruti,Swift Dzire,VDI,2014,"{'value': 'Manual', 'display': 'Manual'}",Sedan,Diesel,1,1398902400000,PB02,White,"{'value': 66297, 'display': '66.30k km'}","{'cashDownPayment': 0, 'emiStartingValue': 14946, 'emiEndingValue': 14946, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 14946, 'emiOriginalEndingValue': 14946, 'tenure': 36, 'displayText': 'EMI ₹14,946/m', 'notAvailableText': 'Not available on EMI'}",Dzire,False,14,[]
10955746798,CH01**1656,769,640000,Hyundai Creta,Hyundai,Creta,SX PLUS  ANNIVERSARY EDITION 1.6 DIESEL,2016,"{'value': 'Manual', 'display': 'Manual'}",SUV,Diesel,2,1483228800000,CH01,White,"{'value': 75276, 'display': '75.28k km'}","{'cashDownPayment': 0, 'emiStartingValue': 14236, 'emiEndingValue': 14236, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 14236, 'emiOriginalEndingValue': 14236, 'tenure': 60, 'displayText': 'EMI ₹14,236/m', 'notAvailableText': 'Not available on EMI'}",Creta,False,14,['TopModel']
